"iso_code","region"
"AGO","seasonal_1"
"BDI","seasonal_2"
"BEN","seasonal_3"
"BFA","seasonal_4"
"BWA","seasonal_1"
"CAF","seasonal_3"
"CIV","seasonal_3"
"CMR","seasonal_3"
"COD","seasonal_2"
"COG","seasonal_2"
"ERI","seasonal_4"
"ETH","seasonal_3"
"GAB","seasonal_2"
"GHA","seasonal_3"
"GIN","seasonal_3"
"GMB","seasonal_4"
"GNB","seasonal_4"
"GNQ","seasonal_2"
"KEN","seasonal_2"
"LBR","seasonal_3"
"MLI","seasonal_4"
"MOZ","seasonal_1"
"MRT","seasonal_4"
"MWI","seasonal_1"
"NAM","seasonal_1"
"NER","seasonal_4"
"NGA","seasonal_3"
"RWA","seasonal_2"
"SEN","seasonal_4"
"SLE","seasonal_3"
"SOM","seasonal_2"
"SSD","seasonal_3"
"SWZ","seasonal_1"
"TCD","seasonal_4"
"TGO","seasonal_3"
"TZA","seasonal_1"
"UGA","seasonal_2"
"ZAF","seasonal_1"
"ZMB","seasonal_1"
"ZWE","seasonal_1"
