"iso_code","region"
"AGO","snf_1"
"BDI","snf_2"
"BEN","snf_3"
"BFA","snf_3"
"BWA","snf_1"
"CAF","snf_4"
"CIV","snf_3"
"CMR","snf_4"
"COD","snf_4"
"COG","snf_4"
"ERI","snf_3"
"ETH","snf_2"
"GAB","snf_4"
"GHA","snf_3"
"GIN","snf_3"
"GMB","snf_3"
"GNB","snf_3"
"GNQ","snf_4"
"KEN","snf_2"
"LBR","snf_3"
"MLI","snf_3"
"MOZ","snf_1"
"MRT","snf_3"
"MWI","snf_1"
"NAM","snf_1"
"NER","snf_3"
"NGA","snf_3"
"RWA","snf_2"
"SEN","snf_3"
"SLE","snf_3"
"SOM","snf_2"
"SSD","snf_2"
"SWZ","snf_1"
"TCD","snf_3"
"TGO","snf_3"
"TZA","snf_2"
"UGA","snf_2"
"ZAF","snf_1"
"ZMB","snf_1"
"ZWE","snf_1"
