"origin","destination","value"
"AGO","AGO",0
"BDI","AGO",1711.63125753451
"BEN","AGO",2959.23298631016
"BFA","AGO",3465.32743480921
"BWA","AGO",1315.64350323537
"CAF","AGO",2123.61137917902
"CIV","AGO",3382.68919122862
"CMR","AGO",2063.7920248523
"COD","AGO",1253.46484095476
"COG","AGO",1293.14097360491
"ERI","AGO",3894.10527239634
"ETH","AGO",3394.87861902276
"GAB","AGO",1439.51354164471
"GHA","AGO",3059.15659280941
"GIN","AGO",4041.84922121059
"GMB","AGO",4638.87978233802
"GNB","AGO",4506.97359390683
"GNQ","AGO",1741.6020848858
"KEN","AGO",2685.71342051826
"LBR","AGO",3630.83858528083
"LSO","AGO",2276.53722970743
"MLI","AGO",4036.99528893534
"MOZ","AGO",2101.35312511918
"MRT","AGO",4758.31397676759
"MWI","AGO",1881.6034424175
"NAM","AGO",1095.31780511596
"NER","AGO",3422.54875007391
"NGA","AGO",2642.70973238884
"RWA","AGO",1803.05354676298
"SEN","AGO",4623.32449256751
"SLE","AGO",3992.36206226887
"SOM","AGO",3765.17118600762
"SSD","AGO",2608.81055422905
"SWZ","AGO",2236.72913331392
"TCD","AGO",3072.96553856157
"TGO","AGO",2949.16510801655
"TZA","AGO",2059.14845499482
"UGA","AGO",2261.30454652396
"ZAF","AGO",2054.50954558854
"ZMB","AGO",1167.607469208
"ZWE","AGO",1577.92472286895
"AGO","BDI",1711.63125753451
"BDI","BDI",0
"BEN","BDI",3394.89427475305
"BFA","BDI",3932.64910816416
"BWA","BDI",2204.88572149114
"CAF","BDI",1524.83470127841
"CIV","BDI",4136.76801529129
"CMR","BDI",2161.82008406089
"COD","BDI",707.174980225744
"COG","BDI",1661.25719091438
"ERI","BDI",2308.0058011387
"ETH","BDI",1714.25936486306
"GAB","BDI",2042.1550299314
"GHA","BDI",3687.99254581941
"GIN","BDI",4800.81893282707
"GMB","BDI",5380.35495368254
"GNB","BDI",5285.85652311826
"GNQ","BDI",2252.03947673992
"KEN","BDI",981.650904701347
"LBR","BDI",4502.73223373613
"LSO","BDI",2928.96861614001
"MLI","BDI",4381.9237965402
"MOZ","BDI",1667.40276708051
"MRT","BDI",5197.82443815035
"MWI","BDI",1233.27471496303
"NAM","BDI",2523.08023914963
"NER","BDI",3254.03181570274
"NGA","BDI",2824.55795509695
"RWA","BDI",148.226598766217
"SEN","BDI",5321.61694210793
"SLE","BDI",4830.61042347106
"SOM","BDI",2057.02359285314
"SSD","BDI",1182.56567962055
"SWZ","BDI",2592.91962130987
"TCD","BDI",2426.72838201331
"TGO","BDI",3483.53138964506
"TZA","BDI",658.323600146079
"UGA","BDI",602.702099950269
"ZAF","BDI",2902.91720455995
"ZMB","BDI",1151.30701529238
"ZWE","BDI",1743.6432989936
"AGO","BEN",2959.23298631016
"BDI","BEN",3394.89427475305
"BEN","BEN",0
"BFA","BEN",541.811042836537
"BWA","BEN",4274.50167968665
"CAF","BEN",2048.10605633311
"CIV","BEN",908.878887522304
"CMR","BEN",1238.71254145849
"COD","BEN",2745.27952337401
