"AGO","BDI","BEN","BFA","BWA","CAF","CIV","CMR","COD","COG","ERI","ETH","GAB","GHA","GIN","GMB","GNB","GNQ","KEN","LBR","MLI","MOZ","MRT","MWI","NAM","NER","NGA","RWA","SEN","SLE","SOM","SSD","SWZ","TCD","TGO","TZA","UGA","ZAF","ZMB","ZWE"
2575.501,0.24657534,0.81643836,0.72054795,4.23287671,0.580821918,5.7452055,6.4,19.44658,14.88219178,0.084931507,13.0493151,1.85205479,6.6191781,11.38356164,0.7671233,1.002739726,1.19726,13.1808219,0.057534247,3.55890411,36.38356,5.060274,1.594521,110.15342466,0.16438356,16.67123,0.8,2.60273973,0.16438356,0.03835616,0.03561644,0.45205479,0.378082192,0.44109589,4.490411,2.2986301,308.3507,15.04109589,11.8
0.2219178,NA,0.85205479,0.91232877,0.1890411,1.101369863,1.8767123,2.74246575,4.186301,1.24383562,0.01369863,7.9369863,1.2630137,0.6136986,0.31232877,0.0109589,0.005479452,0.03835616,40.430137,0.054794521,1.104109589,0.6657534,0.08493151,0.430137,0.07671233,0.63013699,0.9287671,60.8,2.88767123,0.08219178,0.07671233,0.4273973,0.03561644,2.063013699,0.682191781,18.33699,14.5643836,9.917808,4.63013699,1.79452055
1.038356,2.75616438,NA,21.46849315,1.45205479,8.205479452,88.2136986,110.02739726,7.315068,80.31780822,NA,6.6547945,122.23013699,15.1917808,7.14246575,2.608219,0.632876712,63,3.9342466,1.126027397,18.583561644,0.3589041,1.660274,0.3890411,0.1890411,10.5369863,47.72055,5.00821918,52.11232877,0.61917808,0.008219178,0.04657534,0.02191781,5.506849315,9.945205479,1.358904,1.8739726,12.40822,1.20821918,0.47123288
0.3041096,0.69041096,22.86849315,10.04931507,0.41643836,1.630136986,81.109589,9.66027397,3.232877,8.35342466,0.019178082,13.9424658,6.64931507,20.369863,10.04109589,1.630137,1.764383562,0.2493151,6.3424658,0.687671233,26.808219178,0.3643836,2.115068,0.2246575,0.20821918,26.03561644,8.306849,2.56164384,40.57808219,0.74794521,NA,0.1123288,0.03561644,3.931506849,18.068493151,1.457534,1.739726,9.353425,0.78082192,0.33972603
2.958904,0.11506849,0.43835616,0.4630137,230.29315068,0.032876712,0.8,0.67945205,2.40274,0.63835616,0.087671233,4.830137,0.35342466,3.4575342,0.21643836,0.1123288,NA,0.09041096,14.3671233,0.191780822,0.191780822,8.630137,0.06575342,6.221918,30.13150685,0.13972603,4.767123,1.1369863,1.9260274,0.21369863,0.01643836,0.2630137,2.75890411,0.02739726,0.112328767,8.378082,4.4739726,427.5068,12.98630137,17.95068493
0.4356164,1.08219178,10.73150685,1.74246575,0.03013699,NA,5.0246575,62.50136986,2.569863,10.46849315,NA,0.9726027,1.94520548,0.4136986,0.58082192,0.03561644,0.010958904,0.04383562,9.2575342,0.104109589,2.923287671,0.04931507,1.019178,0.0630137,0.02739726,1.20821918,0.9232877,3.3369863,5.45205479,0.11780822,0.01369863,0.09863014,0.0109589,3.964383562,2.126027397,0.5013699,4.4054795,2.764384,0.55616438,0.16164384
3.243836,3.59178082,86.95342466,82.3260274,0.72054795,2.956164384,222,71.85479452,15.00548,33.05753425,0.071232877,13.660274,54.14520548,138.3342466,61.65753425,3.476712,3.904109589,0.4876712,15.7287671,12.838356164,83.610958904,1.646575,9.646575,1.369863,1.01643836,19.70684932,86.9863,6.11780822,134.52876712,6.42465753,0.1890411,0.3260274,0.22191781,7.515068493,50.156164384,6.482192,5.0794521,40.53425,3.2739726,2.5369863
9.915068,3.53424658,121.2739726,10.79178082,0.56438356,72.676712329,67.4958904,509.17808219,18.89589,68.27123288,0.065753425,14.1287671,101.3369863,25.1479452,6.34246575,0.3753425,0.276712329,47.26301,18.7260274,1.304109589,11.556164384,1.980822,0.9917808,1.112329,1.14520548,4.40273973,61.07397,16.51506849,27.49589041,1.33150685,0.02465753,0.539726,0.19726027,87.783561644,12.18630137,6.460274,4.9013699,30.8411,3.1260274,2.66575342
17.23836,2.82465753,7.4739726,3.30410959,2.49041096,2.117808219,12.4767123,12.66575342,1216.452,10.76712329,0.01369863,20.5835616,15.03013699,4.3753425,2.88767123,0.1753425,0.153424658,0.3178082,46.0356164,0.682191781,4.167123288,3.063014,0.8986301,1.6,3.20273973,1.8739726,6.8,9.6109589,9.69041096,0.57260274,0.08219178,0.4410959,0.45205479,2.153424658,3.106849315,16.96712,15.3123288,157.3562,8.81369863,5.34246575
20.83288,1.29315068,79.5260274,7.26575342,1.11780822,11.473972603,27.2438356,67.25479452,7.115068,998.60273973,0.04109589,14.2520548,57.48219178,4.7808219,3.15068493,0.1068493,0.164383562,9.065753,5.6767123,0.479452055,42.706849315,0.8876712,3.657534,0.2739726,1.43287671,2.01917808,5.172603,8.64383562,30.31506849,0.21643836,0.01369863,0.2109589,0.1260274,2.906849315,5.197260274,2.838356,2.3589041,38.48493,1.47945205,2.2739726
0.03835616,0.02739726,NA,0.03835616,0.06027397,NA,0.1041096,0.0630137,0.04109589,0.0739726,NA,1.1589041,0.03835616,0.4575342,NA,0.008219178,NA,0.008219178,5.4520548,NA,0.005479452,0.03561644,0.03835616,0.06027397,0.05479452,0.02191781,0.09589041,0.3369863,0.02191781,0.02465753,0.0109589,1.813699,0.01369863,0.068493151,0.02739726,0.5671233,3.7068493,3.876712,0.3260274,0.54246575
