"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"N","Total population size as of 2023","point",NA,"BDI",NA,"mean",13503998
"N","Total population size as of 2023","point",NA,"COM",NA,"mean",842267
"N","Total population size as of 2023","point",NA,"DJI",NA,"mean",1145015
"N","Total population size as of 2023","point",NA,"ERI",NA,"mean",3438999
"N","Total population size as of 2023","point",NA,"ETH",NA,"mean",127028360
"N","Total population size as of 2023","point",NA,"KEN",NA,"mean",54793511
"N","Total population size as of 2023","point",NA,"MDG",NA,"mean",30813475
"N","Total population size as of 2023","point",NA,"MWI",NA,"mean",20832833
"N","Total population size as of 2023","point",NA,"MUS",NA,"mean",1274659
"N","Total population size as of 2023","point",NA,"MOZ",NA,"mean",33140626
"N","Total population size as of 2023","point",NA,"RWA",NA,"mean",13802596
"N","Total population size as of 2023","point",NA,"SYC",NA,"mean",126694
"N","Total population size as of 2023","point",NA,"SOM",NA,"mean",18031404
"N","Total population size as of 2023","point",NA,"SSD",NA,"mean",11146895
"N","Total population size as of 2023","point",NA,"UGA",NA,"mean",47981110
"N","Total population size as of 2023","point",NA,"TZA",NA,"mean",65657004
"N","Total population size as of 2023","point",NA,"ZMB",NA,"mean",20430382
"N","Total population size as of 2023","point",NA,"ZWE",NA,"mean",16203259
"N","Total population size as of 2023","point",NA,"AGO",NA,"mean",36186956
"N","Total population size as of 2023","point",NA,"CMR",NA,"mean",27997833
"N","Total population size as of 2023","point",NA,"CAF",NA,"mean",5064592
"N","Total population size as of 2023","point",NA,"TCD",NA,"mean",18767684
"N","Total population size as of 2023","point",NA,"COG",NA,"mean",6108142
"N","Total population size as of 2023","point",NA,"COD",NA,"mean",104063312
"N","Total population size as of 2023","point",NA,"GNQ",NA,"mean",1825480
"N","Total population size as of 2023","point",NA,"GAB",NA,"mean",2457715
"N","Total population size as of 2023","point",NA,"STP",NA,"mean",228558
"N","Total population size as of 2023","point",NA,"DZA",NA,"mean",45831343
"N","Total population size as of 2023","point",NA,"EGY",NA,"mean",113493134
"N","Total population size as of 2023","point",NA,"LBY",NA,"mean",7268778
"N","Total population size as of 2023","point",NA,"MAR",NA,"mean",37523726
"N","Total population size as of 2023","point",NA,"SDN",NA,"mean",50037008
"N","Total population size as of 2023","point",NA,"TUN",NA,"mean",12160602
"N","Total population size as of 2023","point",NA,"BWA",NA,"mean",2459937
"N","Total population size as of 2023","point",NA,"SWZ",NA,"mean",1224706
"N","Total population size as of 2023","point",NA,"LSO",NA,"mean",2298496
"N","Total population size as of 2023","point",NA,"NAM",NA,"mean",2928037
"N","Total population size as of 2023","point",NA,"ZAF",NA,"mean",62796883
"N","Total population size as of 2023","point",NA,"BEN",NA,"mean",13934166
"N","Total population size as of 2023","point",NA,"BFA",NA,"mean",22765636
"N","Total population size as of 2023","point",NA,"CPV",NA,"mean",521047
"N","Total population size as of 2023","point",NA,"CIV",NA,"mean",30783520
"N","Total population size as of 2023","point",NA,"GMB",NA,"mean",2666786
"N","Total population size as of 2023","point",NA,"GHA",NA,"mean",33467371
"N","Total population size as of 2023","point",NA,"GIN",NA,"mean",14229395
"N","Total population size as of 2023","point",NA,"GNB",NA,"mean",2129290
"N","Total population size as of 2023","point",NA,"LBR",NA,"mean",5432670
"N","Total population size as of 2023","point",NA,"MLI",NA,"mean",23415909
"N","Total population size as of 2023","point",NA,"MRT",NA,"mean",4948362
"N","Total population size as of 2023","point",NA,"NER",NA,"mean",25727295
"N","Total population size as of 2023","point",NA,"NGA",NA,"mean",225494749
"N","Total population size as of 2023","point",NA,"SEN",NA,"mean",17867073
"N","Total population size as of 2023","point",NA,"SLE",NA,"mean",8368119
"N","Total population size as of 2023","point",NA,"TGO",NA,"mean",9196283
