"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"d","Population death rate per day as of 2023","point",NA,"BDI",NA,"mean",1.86576912006011e-05
"d","Population death rate per day as of 2023","point",NA,"COM",NA,"mean",1.99038826899829e-05
"d","Population death rate per day as of 2023","point",NA,"DJI",NA,"mean",2.0568014333006e-05
"d","Population death rate per day as of 2023","point",NA,"ERI",NA,"mean",1.67171932759806e-05
"d","Population death rate per day as of 2023","point",NA,"ETH",NA,"mean",1.65429135516053e-05
"d","Population death rate per day as of 2023","point",NA,"KEN",NA,"mean",1.99515675926692e-05
"d","Population death rate per day as of 2023","point",NA,"MDG",NA,"mean",2.08804751817184e-05
"d","Population death rate per day as of 2023","point",NA,"MWI",NA,"mean",1.48844341769e-05
"d","Population death rate per day as of 2023","point",NA,"MUS",NA,"mean",2.39096984595622e-05
"d","Population death rate per day as of 2023","point",NA,"MOZ",NA,"mean",1.94703707157675e-05
"d","Population death rate per day as of 2023","point",NA,"RWA",NA,"mean",1.64404252609586e-05
"d","Population death rate per day as of 2023","point",NA,"SYC",NA,"mean",2.27276118426644e-05
"d","Population death rate per day as of 2023","point",NA,"SOM",NA,"mean",2.74337202555433e-05
"d","Population death rate per day as of 2023","point",NA,"SSD",NA,"mean",2.71195368878047e-05
"d","Population death rate per day as of 2023","point",NA,"UGA",NA,"mean",1.3451812113399e-05
"d","Population death rate per day as of 2023","point",NA,"TZA",NA,"mean",1.60985652291389e-05
"d","Population death rate per day as of 2023","point",NA,"ZMB",NA,"mean",1.4471732036074e-05
"d","Population death rate per day as of 2023","point",NA,"ZWE",NA,"mean",2.10361875052758e-05
"d","Population death rate per day as of 2023","point",NA,"AGO",NA,"mean",1.92669137162051e-05
"d","Population death rate per day as of 2023","point",NA,"CMR",NA,"mean",1.9853004191089e-05
"d","Population death rate per day as of 2023","point",NA,"CAF",NA,"mean",2.62520977767926e-05
"d","Population death rate per day as of 2023","point",NA,"TCD",NA,"mean",3.11119171729973e-05
"d","Population death rate per day as of 2023","point",NA,"COG",NA,"mean",1.74391079881911e-05
"d","Population death rate per day as of 2023","point",NA,"COD",NA,"mean",2.37434751022939e-05
"d","Population death rate per day as of 2023","point",NA,"GNQ",NA,"mean",2.18460087510104e-05
"d","Population death rate per day as of 2023","point",NA,"GAB",NA,"mean",1.73643861590002e-05
"d","Population death rate per day as of 2023","point",NA,"STP",NA,"mean",1.54272762154914e-05
"d","Population death rate per day as of 2023","point",NA,"DZA",NA,"mean",1.2808068026811e-05
"d","Population death rate per day as of 2023","point",NA,"EGY",NA,"mean",1.50983486288218e-05
"d","Population death rate per day as of 2023","point",NA,"LBY",NA,"mean",1.8321935570433e-05
"d","Population death rate per day as of 2023","point",NA,"MAR",NA,"mean",1.55243513623704e-05
"d","Population death rate per day as of 2023","point",NA,"SDN",NA,"mean",1.754816223717e-05
"d","Population death rate per day as of 2023","point",NA,"TUN",NA,"mean",1.66878454352295e-05
"d","Population death rate per day as of 2023","point",NA,"BWA",NA,"mean",1.58117425002994e-05
"d","Population death rate per day as of 2023","point",NA,"SWZ",NA,"mean",2.11960291772793e-05
"d","Population death rate per day as of 2023","point",NA,"LSO",NA,"mean",2.9336634471542e-05
"d","Population death rate per day as of 2023","point",NA,"NAM",NA,"mean",1.71034218675497e-05
"d","Population death rate per day as of 2023","point",NA,"ZAF",NA,"mean",2.54796260491211e-05
"d","Population death rate per day as of 2023","point",NA,"BEN",NA,"mean",2.44067475034298e-05
"d","Population death rate per day as of 2023","point",NA,"BFA",NA,"mean",2.20682286352102e-05
"d","Population death rate per day as of 2023","point",NA,"CPV",NA,"mean",1.389194480418e-05
"d","Population death rate per day as of 2023","point",NA,"CIV",NA,"mean",2.12478927525783e-05
"d","Population death rate per day as of 2023","point",NA,"GMB",NA,"mean",1.74392880850089e-05
"d","Population death rate per day as of 2023","point",NA,"GHA",NA,"mean",1.9472574956992e-05
"d","Population death rate per day as of 2023","point",NA,"GIN",NA,"mean",2.53103301251745e-05
"d","Population death rate per day as of 2023","point",NA,"GNB",NA,"mean",1.95331687191119e-05
"d","Population death rate per day as of 2023","point",NA,"LBR",NA,"mean",2.23573811721681e-05
"d","Population death rate per day as of 2023","point",NA,"MLI",NA,"mean",2.3991065336807e-05
"d","Population death rate per day as of 2023","point",NA,"MRT",NA,"mean",1.53503127114769e-05
"d","Population death rate per day as of 2023","point",NA,"NER",NA,"mean",2.46788691910753e-05
"d","Population death rate per day as of 2023","point",NA,"NGA",NA,"mean",3.25062029812135e-05
"d","Population death rate per day as of 2023","point",NA,"SEN",NA,"mean",1.54691840737367e-05
"d","Population death rate per day as of 2023","point",NA,"SLE",NA,"mean",2.29560107996775e-05
"d","Population death rate per day as of 2023","point",NA,"TGO",NA,"mean",2.13490066420656e-05
