"country_name","country_iso_code","response","parameter","mean","se","ci_lo","ci_hi"
"Angola","AGO","precipitation","a1",1.04002285822075,0.0364284080245157,0.968623178492695,1.1114225379488
"Angola","AGO","precipitation","b1",0.41826357488395,0.0370358954531456,0.345673219795785,0.490853929972115
"Angola","AGO","precipitation","a2",-0.140603450234174,0.0364499768645682,-0.212045404888727,-0.06916149557962
"Angola","AGO","precipitation","b2",-0.00681520563976579,0.0370136687466373,-0.0793619963831748,0.0657315851036433
"Angola","AGO","cases","a1",NA,NA,NA,NA
"Angola","AGO","cases","b1",NA,NA,NA,NA
"Angola","AGO","cases","a2",NA,NA,NA,NA
"Angola","AGO","cases","b2",NA,NA,NA,NA
"Benin","BEN","precipitation","a1",-0.992240707115924,0.0348467997064212,-1.06054043454051,-0.923940979691338
"Benin","BEN","precipitation","b1",-0.52175103254129,0.03542791145952,-0.591189739001949,-0.452312326080631
"Benin","BEN","precipitation","a2",-0.1926312617705,0.0348674320095987,-0.260971428509313,-0.124291095031686
"Benin","BEN","precipitation","b2",0.142376048047184,0.035406650602511,0.0729790128662624,0.211773083228106
"Benin","BEN","cases","a1",NA,NA,NA,NA
"Benin","BEN","cases","b1",NA,NA,NA,NA
"Benin","BEN","cases","a2",NA,NA,NA,NA
"Benin","BEN","cases","b2",NA,NA,NA,NA
"Botswana","BWA","precipitation","a1",0.756349862971712,0.0479680856262612,0.66233241514424,0.850367310799184
"Botswana","BWA","precipitation","b1",0.352483732524025,0.0487680106620097,0.256898431626486,0.448069033421564
"Botswana","BWA","precipitation","a2",0.126512166461207,0.0479964870400696,0.0324390518626704,0.220585281059743
"Botswana","BWA","precipitation","b2",0.178044524226486,0.0487387438494966,0.0825165862814724,0.273572462171499
"Botswana","BWA","cases","a1",NA,NA,NA,NA
"Botswana","BWA","cases","b1",NA,NA,NA,NA
"Botswana","BWA","cases","a2",NA,NA,NA,NA
"Botswana","BWA","cases","b2",NA,NA,NA,NA
"Burkina Faso","BFA","precipitation","a1",-0.969175593519413,0.0305980385697096,-1.02914774911604,-0.909203437922782
"Burkina Faso","BFA","precipitation","b1",-0.60092579136116,0.0311082975096716,-0.661898054480117,-0.539953528242204
"Burkina Faso","BFA","precipitation","a2",0.004817580732282,0.0306161517792153,-0.0551900767549799,0.064825238219544
"Burkina Faso","BFA","precipitation","b2",0.43171262809144,0.0310896287905753,0.370776955661912,0.492648300520967
"Burkina Faso","BFA","cases","a1",NA,NA,NA,NA
"Burkina Faso","BFA","cases","b1",NA,NA,NA,NA
"Burkina Faso","BFA","cases","a2",NA,NA,NA,NA
"Burkina Faso","BFA","cases","b2",NA,NA,NA,NA
"Burundi","BDI","precipitation","a1",0.812733742836894,0.0322994273992702,0.749426865134325,0.876040620539464
"Burundi","BDI","precipitation","b1",0.35988633198182,0.0339242419036882,0.293394817850592,0.426377846113049
"Burundi","BDI","precipitation","a2",-0.341498724962035,0.033155149059015,-0.406482817117704,-0.276514632806365
"Burundi","BDI","precipitation","b2",-0.313470111321643,0.0329589875720279,-0.378069726962818,-0.248870495680468
"Burundi","BDI","cases","a1.a1",-0.308397051414221,0.040762066087629,-0.388290700945974,-0.228503401882468
"Burundi","BDI","cases","b1.b1",-0.418885940386498,0.0423135244320892,-0.501820448273393,-0.335951432499603
"Burundi","BDI","cases","a2.a2",-0.491160354169193,0.0419015265280434,-0.573287346164158,-0.409033362174228
"Burundi","BDI","cases","b2.b2",-0.359399515371416,0.0410849811070545,-0.439926078341243,-0.278872952401589
"Cameroon","CMR","precipitation","a1",-0.797661713972995,0.0279314837927376,-0.852407422206761,-0.74291600573923
"Cameroon","CMR","precipitation","b1",-0.513259388112655,0.0263919180158593,-0.564987547423739,-0.461531228801571
"Cameroon","CMR","precipitation","a2",-0.596513777820905,0.0270879905935923,-0.649606239384346,-0.543421316257464
"Cameroon","CMR","precipitation","b2",-0.307564347198936,0.0272067413750485,-0.360889560294031,-0.254239134103841
"Cameroon","CMR","cases","a1.a1",-0.644096611748974,0.0462773938033617,-0.734800303603563,-0.553392919894386
"Cameroon","CMR","cases","b1.b1",0.00662938890929377,0.0432770365818589,-0.0781936027911496,0.0914523806097371
"Cameroon","CMR","cases","a2.a2",0.0766260424592219,0.0449143149489756,-0.0114060148407702,0.164658099759214
"Cameroon","CMR","cases","b2.b2",-0.280972436176841,0.044577263423097,-0.368343872486111,-0.193600999867571
